ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5542,MALAYSIA GROUPED BIOMASS WASTE RECOVERY AND UTILIZATION PROJECT,Climate Quest Sdn Bhd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0006; AMS-III.E.,Under development,Malaysia,"76,340",Asia,,2023-11-01,2033-10-31
5532,"FOREST CARBON FIXATION IN THE AREA OF INFLUENCE OF THE SANTA BARBARA MOUNTAIN, SANTA BARBARA, HONDURAS. ZONE 2",Higuertropic de Honduras,Agriculture Forestry and Other Land Use; Carbon capture and storage,REDD,VM0048,Under validation,Honduras,"4,592,702",Latin America,,2024-12-06,2054-12-05
5528,"Bio-diesel project in Uttar Pradesh, India",Infinite Environmental Solutions Limited,Chemical industry; Transport,,AMS-III.AK,Under validation,India,"14,549",Asia,,2023-07-31,2030-07-30
5525,1PointFive Direct Air Capture – STRATOS,"1PointFive Stratos, LLC",Carbon capture and storage,,VM0049,Under validation,United States,"432,714",North America,,,
5522,Grouped Mangrove Restoration Project to Secure Livelihoods and Combat Climate Change in India,Infinite Environmental Solutions Limited,Agriculture Forestry and Other Land Use,WRC,VM0033,Under development,India,"165,058",Asia,,2022-05-01,2052-04-30
5521,Blue Flame for Commercial Kitchens in Ghana,Envirofit International Inc.,Energy demand,,VM0050,Under development,Ghana,"300,000",Africa,,2024-03-15,2031-03-14
5515,Arbonics Afforestation Project Four,Arbonics OU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Estonia,"9,875",Europe,,2022-04-15,2062-04-14
5516,Arbonics Afforestation Project Three,Arbonics OU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Estonia,"3,009",Europe,,2022-04-15,2082-04-14
5518,San Miguelito afforestation project with exotic and native species in Northeast Argentina.,GMF Latinoamericana S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,"14,964",Latin America,,,
5511,Brazil Cerrado 1,NK 164 Empreendimentos e Participacoes S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Brazil,"363,943",Latin America,,2022-07-06,2042-07-05
5512,RMC Recovery and Destruction of Canadian ODS Project,"ANEW ENVIRONMENTAL, LLC",Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,,VM0016,Under development,United States,"91,500",North America,,2021-02-18,2028-02-17
5510,Project Caraga,EcoCarbon Capital Pte. Ltd.,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Philippines,"2,400,000",Asia,,2025-03-03,2050-03-02
5506,uMkhanyakude Restoration Project,Afriwild Carbon Developments,Agriculture Forestry and Other Land Use,ALM,VM0032,Under development,South Africa,"273,453",Africa,,2022-04-01,2062-03-31
5500,Drawn Carbon ARR Foundations Project,EP Carbon,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Guatemala,"4,812,500",Latin America,,,
5501,Drawn Carbon REDD Foundations Project,EP Carbon,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Guatemala,"380,952",Latin America,,,
5498,Hedong Biogas Recovery and Utilization Project,"Fengcheng Xinfengtai Environment Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Under validation,China,"57,112",Asia,,2023-06-01,2030-05-31
5488,Scatec RMI Hybrid Cluster,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,South Africa,"900,000",Africa,,2023-12-09,2033-12-08
5489,Los Llanos de Apan: Ecological Restoration,Toroto,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Mexico,"12,352",North America,,2022-05-16,2052-05-15
5485,German Forest Restoration: Rebuilding Climate-Resilient Forests After Bark Beetle Damage,CarbonStack GmbH,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Germany,"6,520",Europe,,2023-03-23,2063-03-22
5487,CO2 UTILIZATION IN CONCRETE – REMOVALS & REDUCTIONS CARBONCURE – PRECAST PROJECT #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Under validation,United States,"3,551",North America,,2021-07-01,2028-06-30
5479,"LEAK DETECTION AND REPAIR PROGRAM - GLI, AZERBAIJAN",ICA-Finance AS,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Under development,Azerbaijan,"45,405",Asia,,,
5477,Puer MSW Landfill Biogas Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under development,China,"37,257",Asia,,2023-10-01,2033-09-30
5474,Pahang Peatland Restoration Project,ENGGANG (PEKAN) SDN BHD,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007; VM0047,Under development,Malaysia,"2,400,000",Asia,,2024-02-01,2083-01-31
5471,CANHANDUBA LANDFILL PROJECT,ITAJAÍ BIOGÁS E ENERGIA S.A,Waste handling and disposal,,ACM0001,Under validation,Brazil,"112,212",Latin America,,2021-07-01,2028-06-30
5470,Guizhou Jinsha Changxing CMM Power Generation Project,"Jinsha Yonder Southwest New Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"152,290",Asia,,2023-12-05,2033-12-04
5467,Shanxi Xiangning Detong CMM Power Generation Project,"Xiangning County Jiayuan CBM utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"162,770",Asia,,2024-08-10,2034-08-09
5468,Shanxi Yangcheng Huanglian CMM Power Generation Project,"Yangcheng County Jingde CBM power generation Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"143,835",Asia,,2023-11-14,2033-11-13
5469,"Alternate Wetting and Drying in Rice Cultivation in An Giang Province, Viet nam",Green Carbon Inc,Agriculture Forestry and Other Land Use,ALM,VM0051,Under development,Viet Nam,"590,682",Asia,,2025-04-01,2032-03-31
5459,Savannakhet Town IFM (conversion of logged to protected forest) Project,"Laos Global Carbon Technology Co.,LTD",Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,Lao,"280,463",Asia,,2023-08-01,2053-07-31
5460,Savannakhet Town Afforestation Project,"Laos Global Carbon Technology Co.,LTD",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Lao,"296,030",Asia,,2022-03-01,2052-02-29
5461,Louang Namtha IFM (conversion of logged to protected forest) Project,"Laos Global Carbon Technology Co.,LTD",Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,Lao,"276,496",Asia,,2023-08-01,2053-07-31
5462,Louang Namtha Afforestation Project,"Laos Global Carbon Technology Co.,LTD",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Lao,"274,380",Asia,,2022-03-01,2052-02-29
5463,Khammouan REDD Project,"Laos Global Carbon Technology Co.,LTD",Agriculture Forestry and Other Land Use,REDD,VM0007,Under development,Lao,"240,965",Asia,,2022-03-01,2042-02-28
5464,Muyuchi,Viridis Terra Peru S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Peru,"10,000",Latin America,,2022-02-28,2054-02-27
5465,ENTERIC FERMENTATION EMISSIONS’ REDUCTION PROGRAM OF ITALY,VETOS IT S.R.L,"Livestock, enteric fermentation, and manure management",,VM0041,Under development,Italy,"24,239",Europe,,2024-03-21,2031-03-20
5458,Sanggala Corridor Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; REDD,VM0007; VM0047,Under validation,Indonesia,"177,514",Asia,,2023-03-16,2073-03-15
5455,Taiwan Electric Vehicle Charging Systems (TEVCS),"UPASSETS CO., LTD.",Energy distribution; Transport,,VM0038,Under validation,Taiwan,"19,801",Asia,,2024-01-01,2033-12-31
5456,BissauBlue,Blue Forest,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under development,Guinea-Bissau,"102,283",Africa,,,
5454,Changing the way we move: Electric buses for mining companies,TRANSICIÓN ENERGÉTICA I SpA,Transport,,AMS-III.C.,Under validation,Chile,"4,946",Latin America,,2024-05-17,2034-05-16
5451,Kenya Climate Smart Agriculture Program,OYU Green Private Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Kenya,"37,448",Africa,,2022-04-01,2042-03-31
5452,600 MW Monsoon Wind Power Project,Monsoon Wind Power Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Lao,"1,347,847",Asia,,2025-03-31,2032-03-30
5446,Boreal Carbon - Project Gamma I,Boreal Carbon Forestry III,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Mongolia,"300,000",Asia,,2025-04-26,2065-04-25
5444,Solareff Rooftop PV Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"67,936",Africa,,2023-07-01,2030-06-30
5445,Noor 2 Abu Dhabi Street Lighting Project,Nojoom Project Company Streetlighting Installation Repair and Maintenance LLC,Energy demand,,AMS-II.C.,Under validation,United Arab Emirates,"106,095",Middle East,,2024-03-06,2034-03-05
5442,PROYECTO REDD+ JUNTOS POR LOS BOSQUES,COOPERATIVA AGRARIA FORESTAL Y DE SERVICIOS AMBIENTALES MADRE DE DIOS - COOPAFSAMAD,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Peru,"139,695",Latin America,,2024-04-05,2064-04-04
5443,SANTOS LANDFILL GAS PROJECT,Raizen Gera Desenvolvedora S.A.,Waste handling and disposal,,ACM0001,Under validation,Brazil,"499,067",Latin America,,2023-06-01,2030-05-31
5441,OYU - Powering South African SMEs with Clean Energy,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"84,130",,,2024-03-01,2031-02-28
